id,inventoryState,lastConnection,groupName
ISKIE079572,installed,1725892233,Chandrapura TPS Commercial
ISKIE079387,installed,1725892234,Chandrapura TPS Commercial
ISKIE079385,installed,1725892234,Chandrapura TPS Commercial
ISKIE079386,installed,1725892234,Chandrapura TPS Commercial
ISKIE079383,installed,1725892235,Chandrapura TPS Commercial
ISKIE079384,installed,1725892235,Chandrapura TPS Commercial
ISKIE079421,installed,1725892235,Chandrapura TPS Commercial
ISKIE079422,installed,1725892236,Chandrapura TPS Commercial
ISKIE079420,installed,1725892236,Chandrapura TPS Commercial
ISKIE079419,installed,1725892236,Chandrapura TPS Commercial
ISKIE079418,installed,1725892237,Chandrapura TPS Commercial
ISKIE079501,installed,1725892237,Chandrapura TPS Commercial
ISKIE071567,installed,1725892237,Maithon/GOMDs Domestic
ISKIE072732,installed,1725892238,Maithon/GOMDs Domestic
ISKIE072720,installed,1725537138,Maithon/GOMDs Domestic
ISKIE072475,installed,1725897573,Maithon/GOMDs Domestic
ISKIE072845,installed,,Maithon/GOMDs Domestic
ISKIE071236,installed,1725897573,Maithon/GOMDs Domestic
ISKIE070924,installed,,Maithon/GOMDs Domestic
ISKIE071024,installed,1725523196,Maithon/GOMDs Domestic
ISKIE071052,installed,1725897574,Maithon/GOMDs Domestic
ISKIE071415,installed,,Maithon/GOMDs Domestic
ISKIE071160,installed,1725897575,Maithon/GOMDs Domestic
ISKIE073517,installed,1725897575,Maithon/GOMDs Domestic
ISKIE072559,installed,1725897576,Maithon/GOMDs Domestic
ISKIE073519,installed,1725897576,Maithon/GOMDs Domestic
ISKIE072558,installed,1725897576,Maithon/GOMDs Domestic
ISKIE072588,installed,1725897577,Maithon/GOMDs Domestic
ISKIE072589,installed,1725897577,Maithon/GOMDs Domestic
ISKIE073332,installed,,Maithon/GOMDs Domestic
ISKIE072517,installed,1725897578,Maithon/GOMDs Domestic
ISKIE073549,installed,,Maithon/GOMDs Domestic
ISKIE073548,installed,,Maithon/GOMDs Domestic
ISKIE072268,installed,1725897578,Maithon/GOMDs Domestic
ISKIE073871,installed,1725897579,Maithon/GOMDs Domestic
ISKIE073872,installed,1723276829,Maithon/GOMDs Domestic
ISKIE071343,installed,1725897579,Maithon/GOMDs Domestic
ISKIE071603,installed,1725868849,Maithon/GOMDs Domestic
ISKIE073525,installed,,Maithon/GOMDs Domestic
ISKIE073886,installed,1725897580,Maithon/GOMDs Domestic
ISKIE073848,installed,1725897581,Maithon/GOMDs Domestic
ISKIE072809,installed,1725897581,Maithon/GOMDs Domestic
ISKIE072519,installed,1725897581,Maithon/GOMDs Domestic
ISKIE072569,installed,1725897582,Maithon/GOMDs Domestic
ISKIE071169,installed,1725897582,Maithon/GOMDs Domestic
ISKIE072510,installed,1725177662,Maithon/GOMDs Domestic
ISKIE072576,installed,1725868853,Maithon/GOMDs Domestic
ISKIE071671,installed,1725897583,Maithon/GOMDs Domestic
ISKIE071670,installed,1725883190,Maithon/GOMDs Domestic
ISKIE071605,installed,1725897583,Maithon/GOMDs Domestic
ISKIE071563,installed,1725897584,Maithon/GOMDs Domestic
ISKIE071718,installed,1725897584,Maithon/GOMDs Domestic
ISKIE071162,installed,1725897584,Maithon/GOMDs Domestic
ISKIE070927,installed,1725897585,Maithon/GOMDs Domestic
ISKIE073884,installed,1725897604,Maithon/GOMDs Domestic
ISKIE072813,installed,1725897604,Maithon/GOMDs Domestic
ISKIE073558,installed,1725609666,Maithon/GOMDs Domestic
ISKIE073851,installed,1725897605,Maithon/GOMDs Domestic
ISKIE073915,installed,1725897605,Maithon/GOMDs Domestic
ISKIE073579,installed,,Maithon/GOMDs Domestic
ISKIE071235,installed,1725868859,Maithon/GOMDs Domestic
ISKIE071303,installed,1725897606,Maithon/GOMDs Domestic
ISKIE068264,installed,1725897607,Maithon/GOMDs Domestic
ISKIE071147,installed,1725897607,Maithon/GOMDs Domestic
ISKIE071312,installed,1725897607,Maithon/GOMDs Domestic
ISKIE072483,installed,1725768004,Maithon/GOMDs Domestic
ISKIE072487,installed,1723543009,Maithon/GOMDs Domestic
ISKIE072453,installed,1725897608,Maithon/GOMDs Domestic
ISKIE073522,installed,1725897608,Maithon/GOMDs Domestic
ISKIE073521,installed,,Maithon/GOMDs Domestic
ISKIE072577,installed,1725897609,Maithon/GOMDs Domestic
ISKIE073604,installed,1725696071,Maithon/GOMDs Domestic
ISKIE071414,installed,1725897610,Maithon/GOMDs Domestic
ISKIE071374,installed,,Maithon/GOMDs Domestic
ISKIE071291,installed,1725897610,Maithon/GOMDs Domestic
ISKIE072735,installed,,Maithon/GOMDs Domestic
ISKIE071346,installed,1725897611,Maithon/GOMDs Domestic
ISKIE068314,installed,1725883216,Maithon/GOMDs Domestic
ISKIE071298,installed,1725897612,Maithon/GOMDs Domestic
ISKIE074100,installed,1725897612,Maithon/GOMDs Domestic
ISKIE072736,installed,1725897612,Maithon/GOMDs Domestic
ISKIE072465,installed,1725897613,Maithon/GOMDs Domestic
ISKIE072746,installed,1725897633,Maithon/GOMDs Domestic
ISKIE072554,installed,1725883240,Maithon/GOMDs Domestic
ISKIE072555,installed,1725897633,Maithon/GOMDs Domestic
ISKIE074102,installed,1725897634,Maithon/GOMDs Domestic
ISKIE076317,installed,,Mejia TPS Domestic
ISKIE075162,installed,1725897645,Mejia TPS Domestic
ISKIE076245,installed,1725897645,Mejia TPS Domestic
ISKIE076246,installed,1725897645,Mejia TPS Domestic
ISKIE075078,installed,1725897646,Mejia TPS Domestic
ISKIE074936,installed,1725897646,Mejia TPS Domestic
ISKIE075381,installed,1725897646,Mejia TPS Domestic
ISKIE076247,installed,,Mejia TPS Domestic
ISKIE077422,installed,1725897647,Panchet Commercial
ISKIE067669,installed,1725897647,Mejia TPS Domestic
ISKIE076217,installed,1725897648,Mejia TPS Domestic
ISKIE075597,installed,1725897648,Mejia TPS Domestic
ISKIE075543,installed,1725897648,Mejia TPS Domestic
ISKIE076297,installed,,Mejia TPS Domestic
ISKIE075126,installed,1725897649,Mejia TPS Domestic
ISKIE076199,installed,1725897649,Mejia TPS Domestic
ISKIE075849,installed,,Mejia TPS Domestic
ISKIE067633,installed,1725523385,Mejia TPS Domestic
ISKIE067150,installed,1725897650,Mejia TPS Domestic
ISKIE067826,installed,1725897650,Mejia TPS Domestic
ISKIE067591,installed,1725897651,Mejia TPS Domestic
ISKIE075845,uninstalled,1722854713,Mejia TPS Domestic
ISKIE075853,installed,1725897651,Mejia TPS Domestic
ISKIE075891,installed,1725897652,Mejia TPS Domestic
ISKIE075737,installed,1725897652,Mejia TPS Domestic
ISKIE075479,installed,1725897662,Mejia TPS Domestic
ISKIE067812,installed,1725897663,Mejia TPS Domestic
ISKIE067191,installed,1725897663,Mejia TPS Domestic
ISKIE076089,installed,1725897664,Mejia TPS Domestic
ISKIE075768,installed,1725897674,Mejia TPS Domestic
ISKIE075807,installed,1725897674,Mejia TPS Domestic
ISKIE076030,installed,1725897675,Mejia TPS Domestic
ISKIE067488,installed,1725897675,Mejia TPS Domestic
ISKIE075933,installed,1725897675,Mejia TPS Domestic
ISKIE075789,installed,1725897676,Mejia TPS Domestic
ISKIE075817,installed,1725897691,Mejia TPS Domestic
ISKIE075833,installed,1725897691,Mejia TPS Domestic
ISKIE075766,installed,1725897692,Mejia TPS Domestic
ISKIE075857,installed,1725897692,Mejia TPS Domestic
ISKIE075771,installed,,Mejia TPS Domestic
ISKIE075604,installed,1725897693,Mejia TPS Domestic
ISKIE075936,installed,1725897693,Mejia TPS Domestic
ISKIE076200,installed,1725897693,Mejia TPS Domestic
ISKIE067666,installed,1725897694,Mejia TPS Domestic
ISKIE074898,installed,1725897694,Mejia TPS Domestic
ISKIE075007,installed,1725897704,Mejia TPS Domestic
ISKIE075035,installed,1725897705,Mejia TPS Domestic
ISKIE075848,installed,,Mejia TPS Domestic
ISKIE067190,installed,1725897705,Mejia TPS Domestic
ISKIE075770,installed,1725897706,Mejia TPS Domestic
ISKIE074842,installed,1725897706,Mejia TPS Domestic
ISKIE075897,installed,1725897706,Mejia TPS Domestic
