registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,971.119,kWh,,ISKIE070850,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.0,kWh,,ISKIE070684,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.0,kWh,,ISKIE070849,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.0,kWh,,ISKIE070851,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,596.489,kWh,,ISKIE070765,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3105.198,kWh,,ISKIE070760,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1102.388,kWh,,ISKIE070758,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2076.179,kWh,,ISKIE070766,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6386.819,kWh,,ISKIE070767,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,0.794,kWh,,ISKIE070755,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1314.23,kWh,,ISKIE070809,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3841.028,kWh,,ISKIE070732,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1786.515,kWh,,ISKIE070751,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,547.404,kWh,,ISKIE070750,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1845.674,kWh,,ISKIE070807,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9123.159,kWh,,ISKIE076994,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2766.19,kWh,,ISKIE070688,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2850.18,kWh,,ISKIE070803,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2301.087,kWh,,ISKIE070762,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3229.653,kWh,,ISKIE070739,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3481.952,kWh,,ISKIE070877,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5216.67,kWh,,ISKIE070874,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2367.237,kWh,,ISKIE070717,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7798.262,kWh,,ISKIE070714,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7318.299,kWh,,ISKIE070715,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6722.218,kWh,,ISKIE070798,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2817.441,kWh,,ISKIE070801,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7330.888,kWh,,ISKIE070792,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,385.054,kWh,,ISKIE076970,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,250.522,kWh,,ISKIE076913,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,4063.691,kWh,,ISKIE070787,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8887.992,kWh,,ISKIE070878,1-0:98.1.0*255,Panchet Domestic
