groupName,device,isDataAvailable,measuredAt
Raghunathpur TPS Domestic,ISKIE074603,True,
Raghunathpur TPS Domestic,ISKIE074473,True,
Raghunathpur TPS Domestic,ISKIE067911,True,
Raghunathpur TPS Domestic,ISKIE074606,True,
Raghunathpur TPS Domestic,ISKIE074157,True,
Raghunathpur TPS Domestic,ISKIE074361,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074348,True,
Raghunathpur TPS Domestic,ISKIE074576,True,
Raghunathpur TPS Domestic,ISKIE074515,True,
Raghunathpur TPS Domestic,ISKIE074619,True,
Raghunathpur TPS Domestic,ISKIE074154,True,
Raghunathpur TPS Domestic,ISKIE074376,True,
Raghunathpur TPS Domestic,ISKIE074516,True,
Raghunathpur TPS Domestic,ISKIE074488,True,
Raghunathpur TPS Domestic,ISKIE074379,True,
Raghunathpur TPS Domestic,ISKIE074571,True,
Raghunathpur TPS Domestic,ISKIE074333,True,
Raghunathpur TPS Domestic,ISKIE074156,True,
Raghunathpur TPS Domestic,ISKIE067980,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074568,True,
Raghunathpur TPS Domestic,ISKIE074565,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE067981,True,
Raghunathpur TPS Domestic,ISKIE074567,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074618,True,
Raghunathpur TPS Domestic,ISKIE074426,True,
Raghunathpur TPS Domestic,ISKIE074489,True,
Raghunathpur TPS Domestic,ISKIE074477,True,
Raghunathpur TPS Domestic,ISKIE074192,True,
Raghunathpur TPS Domestic,ISKIE074474,True,
Raghunathpur TPS Domestic,ISKIE074491,True,
Raghunathpur TPS Domestic,ISKIE074189,True,
Raghunathpur TPS Domestic,ISKIE074239,True,
Raghunathpur TPS Domestic,ISKIE074490,True,
Raghunathpur TPS Domestic,ISKIE074337,True,
Raghunathpur TPS Domestic,ISKIE067971,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE067912,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074384,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074241,True,
Raghunathpur TPS Domestic,ISKIE074613,True,
Raghunathpur TPS Domestic,ISKIE074193,True,
Raghunathpur TPS Domestic,ISKIE074387,True,
Raghunathpur TPS Domestic,ISKIE074168,True,
Raghunathpur TPS Domestic,ISKIE074339,True,
Raghunathpur TPS Domestic,ISKIE074314,True,
Raghunathpur TPS Domestic,ISKIE074340,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074195,True,
Raghunathpur TPS Domestic,ISKIE074249,True,
Raghunathpur TPS Domestic,ISKIE074577,True,
Raghunathpur TPS Domestic,ISKIE074360,True,
Raghunathpur TPS Domestic,ISKIE074320,True,
Raghunathpur TPS Domestic,ISKIE074309,True,
Raghunathpur TPS Domestic,ISKIE067970,True,
Raghunathpur TPS Domestic,ISKIE074466,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074414,True,
Raghunathpur TPS Domestic,ISKIE074217,True,
Raghunathpur TPS Domestic,ISKIE074167,True,
Raghunathpur TPS Domestic,ISKIE074467,True,
Raghunathpur TPS Domestic,ISKIE074234,True,
Raghunathpur TPS Domestic,ISKIE074159,True,
Raghunathpur TPS Domestic,ISKIE074210,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074352,True,
Raghunathpur TPS Domestic,ISKIE074166,True,
Raghunathpur TPS Domestic,ISKIE074311,True,
Raghunathpur TPS Domestic,ISKIE074219,True,
Raghunathpur TPS Domestic,ISKIE074160,True,
Raghunathpur TPS Domestic,ISKIE074463,True,
Raghunathpur TPS Domestic,ISKIE074579,True,
Raghunathpur TPS Domestic,ISKIE074430,True,
Raghunathpur TPS Domestic,ISKIE074164,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074428,True,
Raghunathpur TPS Domestic,ISKIE074409,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074211,True,
Raghunathpur TPS Domestic,ISKIE074218,True,
Raghunathpur TPS Domestic,ISKIE074187,True,
Raghunathpur TPS Domestic,ISKIE074380,True,
Raghunathpur TPS Domestic,ISKIE074412,True,
Raghunathpur TPS Domestic,ISKIE074402,True,
Raghunathpur TPS Domestic,ISKIE074411,True,
Raghunathpur TPS Domestic,ISKIE074502,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074417,True,
Raghunathpur TPS Domestic,ISKIE074381,True,
Raghunathpur TPS Domestic,ISKIE074605,True,
Raghunathpur TPS Domestic,ISKIE074184,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074573,True,
Raghunathpur TPS Domestic,ISKIE074408,True,
Raghunathpur TPS Domestic,ISKIE074423,True,
Raghunathpur TPS Domestic,ISKIE067909,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074478,True,
Raghunathpur TPS Domestic,ISKIE074250,True,
Raghunathpur TPS Domestic,ISKIE074513,True,
