registerId,value,unit,measuredAt,device,profile,groupName
1-0:9.8.0*255,4776.332,kVAh,,ISKIE070787,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9239.555,kVAh,,ISKIE070878,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9756.979,kVAh,,ISKIE070718,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,11211.033,kVAh,,ISKIE070836,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,12952.959,kVAh,,ISKIE070837,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6226.112,kVAh,,ISKIE070835,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1462.804,kVAh,,ISKIE070834,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8768.596,kVAh,,ISKIE070833,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2998.937,kVAh,,ISKIE070863,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6819.799,kVAh,,ISKIE070784,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2383.752,kVAh,,ISKIE070814,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2287.889,kVAh,,ISKIE070774,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4883.837,kVAh,,ISKIE070879,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2208.998,kVAh,,ISKIE070773,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6692.21,kVAh,,ISKIE070742,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1840.374,kVAh,,ISKIE070740,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7941.047,kVAh,,ISKIE070432,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4473.028,kVAh,,ISKIE070429,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2879.002,kVAh,,ISKIE070868,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4130.753,kVAh,,ISKIE070428,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6370.127,kVAh,,ISKIE070871,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6240.774,kVAh,,ISKIE070786,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8895.653,kVAh,,ISKIE070775,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,11802.291,kVAh,,ISKIE070865,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4604.289,kVAh,,ISKIE070430,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4332.118,kVAh,,ISKIE070870,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5005.416,kVAh,,ISKIE076984,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2072.467,kVAh,,ISKIE070817,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3338.112,kVAh,,ISKIE070813,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2615.687,kVAh,,ISKIE070709,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2154.63,kVAh,,ISKIE070712,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2156.069,kVAh,,ISKIE070855,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4196.803,kVAh,,ISKIE070708,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,21567.122,kVAh,,ISKIE076987,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5278.407,kVAh,,ISKIE070857,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1011.37,kVAh,,ISKIE070866,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3356.1,kVAh,,ISKIE070783,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2620.276,kVAh,,ISKIE070853,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2769.437,kVAh,,ISKIE070719,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7152.867,kVAh,,ISKIE070690,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6032.653,kVAh,,ISKIE076986,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6906.57,kVAh,,ISKIE076983,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2607.104,kVAh,,ISKIE070867,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9162.233,kVAh,,ISKIE070780,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,14421.401,kVAh,,ISKIE070779,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6344.467,kVAh,,ISKIE070720,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7434.19,kVAh,,ISKIE070722,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3611.022,kVAh,,ISKIE070880,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5558.297,kVAh,,ISKIE076997,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5352.694,kVAh,,ISKIE070741,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4686.844,kVAh,,ISKIE076996,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,10348.104,kVAh,,ISKIE070735,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4010.822,kVAh,,ISKIE070711,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3963.441,kVAh,,ISKIE070734,1-0:98.1.0*255,Panchet Domestic
